,Date,Store,Weekly_Sales,Dept,IsHoliday
10244,24,2,35034.06,1.0,0
10245,66,2,60483.7,1.0,1
10246,108,2,58221.52,1.0,0
10247,150,2,25962.32,1.0,0
10248,25,2,27372.05,1.0,0
10249,67,2,28660.87,1.0,0
10250,109,2,28446.92,1.0,0
10251,151,2,32213.99,1.0,0
10252,7,2,82766.07,1.0,0
10253,49,2,66560.0,1.0,0
10254,91,2,21308.59,1.0,0
10255,133,2,22163.12,1.0,0
10256,174,2,24066.2,1.0,0
10257,37,2,26191.58,1.0,0
10258,79,2,25876.55,1.0,0
10259,121,2,22689.01,1.0,0
10260,163,2,22899.73,1.0,0
10261,22,2,23869.17,1.0,0
10262,64,2,24549.01,1.0,0
10263,106,2,23918.56,1.0,0
10264,148,2,23757.36,1.0,0
10265,8,2,23803.34,1.0,0
10266,50,2,23707.54,1.0,0
10267,92,2,23727.77,1.0,0
10268,134,2,21139.52,1.0,0
10269,175,2,22749.21,1.0,0
10270,35,2,22795.72,1.0,0
10271,77,2,21933.3,1.0,0
10272,119,2,22126.52,1.0,0
10273,161,2,21264.66,1.0,0
10274,16,2,23901.32,1.0,0
10275,58,2,25710.17,1.0,1
10276,100,2,26266.39,1.0,0
10277,142,2,26127.76,1.0,0
10278,5,2,27023.35,1.0,0
10279,47,2,31524.86,1.0,0
10280,89,2,34924.59,1.0,0
10281,131,2,40755.17,1.0,0
10282,172,2,56903.47,1.0,0
10283,30,2,46198.84,1.0,0
10284,72,2,22794.09,1.0,0
10285,114,2,24363.72,1.0,0
10286,156,2,24513.63,1.0,1
10287,17,2,30662.62,1.0,0
10288,59,2,44451.34,1.0,0
10289,101,2,64512.46,1.0,0
10290,143,2,82523.73,1.0,0
10291,181,2,28482.71,1.0,1
10292,36,2,19092.94,1.0,0
10293,78,2,22159.74,1.0,0
10294,120,2,23088.16,1.0,0
10295,162,2,25461.57,1.0,0
10296,19,2,29606.98,1.0,0
10297,61,2,51382.63,1.0,1
10298,103,2,62706.27,1.0,0
10299,145,2,22631.87,1.0,0
10300,20,2,25562.33,1.0,0
10301,62,2,26025.39,1.0,0
10302,104,2,25405.55,1.0,0
10303,146,2,23880.58,1.0,0
10304,2,2,24591.68,1.0,0
10305,44,2,28223.45,1.0,0
10306,86,2,34644.85,1.0,0
10307,128,2,72065.08,1.0,0
10308,169,2,57905.55,1.0,0
10309,33,2,24658.53,1.0,0
10310,75,2,22484.33,1.0,0
10311,117,2,21590.53,1.0,0
10312,159,2,21334.34,1.0,0
10313,14,2,22174.12,1.0,0
10314,56,2,21554.22,1.0,0
10315,98,2,22431.56,1.0,0
10316,140,2,21426.72,1.0,0
10317,4,2,21706.59,1.0,0
10318,46,2,21037.47,1.0,0
10319,88,2,20810.61,1.0,0
10320,130,2,20456.83,1.0,0
10321,171,2,20783.05,1.0,0
10322,28,2,20875.73,1.0,0
10323,70,2,20580.3,1.0,0
10324,112,2,21324.65,1.0,0
10325,154,2,21642.33,1.0,0
10326,9,2,23645.73,1.0,0
10327,51,2,22549.64,1.0,1
10328,93,2,23973.86,1.0,0
10329,135,2,24204.22,1.0,0
10330,176,2,24949.42,1.0,0
10331,40,2,28071.56,1.0,0
10332,82,2,29264.62,1.0,0
10333,124,2,33205.32,1.0,0
10334,166,2,43490.95,1.0,0
10335,23,2,55729.13,1.0,0
10336,65,2,23151.55,1.0,0
10337,107,2,23923.11,1.0,0
10338,149,2,25542.74,1.0,1
10339,11,2,29959.08,1.0,0
10340,53,2,43639.97,1.0,0
10341,95,2,63109.72,1.0,0
10342,137,2,75779.45,1.0,0
10343,178,2,31246.27,1.0,1
10344,31,2,20481.45,1.0,0
